	course_code	course_title	offering_unit
153	Anthro 167	Anthropology of Health Care	DAnthro
154	Anthro 168	Introduction to Museology	DAnthro
155	Anthro 170	Linguistic Anthropology	DAnthro
156	Anthro 172	Peasant Communities	DAnthro
157	Anthro 173	Introduction to Urban Anthropology	DAnthro
158	Anthro 175	Applied Anthropology	DAnthro
159	Anthro 179	Culture Change	DAnthro
160	Anthro 181	Social Anthropology	DAnthro
161	Anthro 182	Culture and Personality	DAnthro
162	Anthro 185	Introduction to Philippine Culture	DAnthro
163	Anthro 187	Sex and Culture	DAnthro
164	Anthro 188	Culture Change	DAnthro
165	Anthro 189	Introduction to Anthropological Theory	DAnthro
166	Anthro 190	Field Methods in Anthropology	DAnthro
167	Anthro 191	Anthropological Theory	DAnthro
168	Anthro 193	Special Topics in Research Methods in Anthropology 	DAnthro
169	Anthro 194	Research Methods in Linguistic Anthropology	DAnthro
170	Anthro 195	Field Methods in Archaeology	DAnthro
171	Anthro 196	Field Methods in Social Anthropology	DAnthro
172	Anthro 197	Field Methods in Biological Anthropology	DAnthro
173	Anthro 197.1	Field Methods in Biological Anthropology Laboratory	DAnthro
174	Anthro 198	Special Topics	DAnthro
175	Anthro 202	Historical Foundations of Physical Anthropology	DAnthro
176	Anthro 203	Seminar on Primate Behavior	DAnthro
177	Anthro 204	Philippine Archaeology	DAnthro
178	Anthro 205	Readings in Physical Anthropology	DAnthro
179	Anthro 211	Philippine Archaeology (By arrangement)	DAnthro
180	Anthro 212	World Archaeology	DAnthro
181	Anthro 215	Philippine Archaeology	DAnthro
182	Anthro 216	Field Work in Philippine Archaeology	DAnthro
183	Anthro 217	Seminar in Southeast Asian Archaeology	DAnthro
184	Anthro 218	Seminar in Philippine Pre-History	DAnthro
185	Anthro 219	Special Problems in Museology	DAnthro
186	Anthro 221	The Village Community	DAnthro
187	Anthro 223	Philippine Ethnic Groups	DAnthro
188	Anthro 224	World Ethnography	DAnthro
189	Anthro 225	Philippine Culture and Society	DAnthro
190	Anthro 229	Seminar in India and South Asia	DAnthro
191	Anthro 232	Seminar in Ecological Anthropology	DAnthro
192	Anthro 235	Seminar in Culture and Population	DAnthro
193	Anthro 236	Seminar in Economic Organization and Cultural Behavior	DAnthro
194	Anthro 245	Research in Philippine Custom Law and Political System	DAnthro
195	Anthro 246	Seminar in Political Anthropology	DAnthro
196	Anthro 251	Seminar in Religious Systems	DAnthro
197	Anthro 255	Research in Philippine Custom Law and Political System	DAnthro
198	Anthro 259	Seminar in India and South Asia	DAnthro
199	Anthro 261	Seminar in Asian Traditions	DAnthro
200	Anthro 262	Seminar in Myths and Rituals	DAnthro
201	Anthro 265	Field Research in Philippine Folklore	DAnthro
202	Anthro 266	Seminar in Folk Traditions	DAnthro
203	Anthro 267	Advanced Medical Anthropology	DAnthro
204	Anthro 269	Seminar in Asian Folklore	DAnthro
205	Anthro 270	Seminar in Anthropological Linguistics	DAnthro
206	Anthro 272	Indian Folklore	DAnthro
207	Anthro 273	Seminar in Urban Anthropology	DAnthro
208	Anthro 274	The Village Community	DAnthro
209	Anthro 275	Seminar in Problems of Contemporary Culture Change	DAnthro
210	Anthro 277	Seminar in Development Anthropology	DAnthro
211	Anthro 278	Special Problems in Philippine Cultural Anthropology	DAnthro
212	Anthro 279	Special Problems in Mindanao Studies	DAnthro
213	Anthro 280	Special Problems in Philippine Communities	DAnthro
214	Anthro 282	Seminar in Culture and Personality	DAnthro
215	Anthro 286	Seminar in Comparative Kinship Systems	DAnthro
216	Anthro 287	Seminar in Sex and Culture	DAnthro
217	Anthro 289	Special Problems in the Anthropology of Education	DAnthro
218	Anthro 291	Special Problems in Asian Anthropology	DAnthro
219	Anthro 292	Seminar in Anthropological Theory	DAnthro
220	Anthro 293	Seminar in Structural Anthropology	DAnthro
221	Anthro 295	Special Problems in Philippine and Oceanic Anthropology	DAnthro
222	Anthro 297	Seminar in Research Design and Methods	DAnthro
223	Anthro 298	Research Methods in Physical Anthropology	DAnthro
224	Anthro 299	Independent Studies	DAnthro
225	Anthro 300	Master's Thesis	DAnthro
226	Anthro 400	PhD Dissertation	DAnthro
