	course_code	course_title	offering_unit
2088	Demo 295.2	Special Topics in Demography:  Analysis of Population Spatial Distribution	PopIns
2089	Demo 295.3	Special Topics in Demography:  Family Planning Program Evaluation	PopIns
2090	Demo 295.4	Special Topics in Demography:  Analysis of Mortality	PopIns
2091	Demo 295.5	Special Topics in Demography:  Techniques of Population Projection	PopIns
2092	Demo 297.1	Seminar in Population and Development I	PopIns
2093	Demo 297.2	Seminar in Population and Development II	PopIns
2094	Demo 298	Applied Population Research	PopIns
2095	Demo 299	Research Methods in Demography	PopIns
2096	Demo 300	Master's Thesis	PopIns
2097	Deutsch 201	Kulturkunde (Contemporary German Culture)	DEL, DAS
2098	Deutsch 210	Burodeutsch (Business German in the Philippine Context)	DEL
2099	Deutsch 220	Geschichte der deutschen Literatur (History of German)	DEL
2100	Deutsch 230	Deutsch fur Fortgeschrittene (Advanced Oral and Written German)	DEL
2101	Deutsch 260	Deutsche Semantik (German Semantics)	DEL
2102	Deutsch 270	Ubersetzungswissenschaft (Theories of Translation)	DEL
2103	Deutsch 271	Praktische Ubersetzungsubungen (Translation of Selected Texts)	DEL
2104	Deutsch 280	Sprachlehr - und lernforschung DaF (Methodology of Teaching German as a Foreign Language)	DEL
2105	Deutsch 290	Kurse Mit Besonderer Themenstellung (Special Topics)	DEL
2106	Deutsch 299	Kolloquium (Areas and Techniques of Research)	DEL
2107	Deutsch 300	Magisterarbeit (Thesis)	DEL
2108	Dutch 10	Elementary Dutch	DEL
2109	Dutch 11	Elementary Dutch	DEL
2110	Dutch 12	Intermediate Dutch	DEL
2111	Dutch 13	Intermediate Dutch	DEL
2112	ECE 113	Communication Electronics	EEEI
2113	ECE 117	Instrumentation Electronics	EEEI
2114	ECE 121	Instrumentation and Controls	EEEI
2115	ECE 123	Digital Instrumentation and Control Techniques	EEEI
2116	ECE 124	Simulation and Control Laboratory	EEEI
2117	ECE 129	Simulation and Control Laboratory	EEEI
2118	ECE 131	Introduction to Robotics	EEEI
2119	ECE 133	Introduction to Mobile Robotics	EEEI
2120	ECE 141	Digital Communications	EEEI
2121	ECE 151	Communication Networks	EEEI
2122	ECE 153	Wireless Communications	EEEI
2123	ECE 155	Modern Audio Engineering	EEEI
2124	ECE 157	Microwave Engineering I	EEEI
2125	ECE 159	Microwave Engineering II	EEEI
2126	ECE 161	Digital Signal Processing	EEEI
2127	ECE 163	Communication Electronics	EEEI
2128	ECE 164	Communication Circuits and Signal Processing Laboratory	EEEI
2129	ECE 165	Digital Communication Systems	EEEI
2130	ECE 167	Computer Networks	EEEI
2131	ECE 168	Network Communications Laboratory	EEEI
2132	ECE 197	Special Topics in Electronics and Communications Engineering	EEEI
2133	ECE 198	Special Problems in Electronics and Communications Engineering	EEEI
2134	ECE 199	Special Projects in Electronics Engineering	EEEI
2135	EDAD 101	The Constitution and Laws and Policies on Education	DELPS
2136	EDAD 102	Introduction to Educational Leadership and Administration	DCI, DELPS
2137	EDAD 201	Human Behavior in Organizations	DELPS
2138	EDAD 202	Education and National Development	DELPS
2139	EDAD 203	Environment of Philippine Educational Institutions	DELPS
2140	EDAD 206	Education and the Law	DELPS
2141	EDAD 208	Policy Analysis in Education	DELPS
2142	EDAD 210	Program/Project Planning and Evaluation	DELPS
2143	EDAD 211	Organization and Management of Educational Institutions	DELPS
2144	EDAD 212	Communications in Educational Management	DELPS
2145	EDAD 221	Human Resource Development in Education	DELPS
2146	EDAD 222	Educational Leadership	DELPS
2147	EDAD 223	Supervision of Instruction: Theory and Practice	DELPS
2148	EDAD 231	Fiscal Management in Education	DELPS
2149	EDAD 241	Seminar in Educational Management	DELPS
2150	EDAD 242	Practicum in School Administration	DELPS
2151	EDAD 279	Research Methods Applied to Educational Management	DELPS
2152	EDAD 301	Problems and Issues in Ecology of Educational Administration	DELPS
2153	EDAD 302	Problems and Issues in Education and National Development	DELPS
2154	EDAD 306	Seminar in Legal Problems and Issues in Education	DELPS
2155	EDAD 310	Seminar in Educational Planning	DELPS
2156	EDAD 311	Seminar in Management Controls of Educational Institutions	DELPS
2157	EDAD 312	Comparative Educational Administration	DELPS
2158	EDAD 316	Seminar in Management of Early Childhood Education	DELPS
2159	EDAD 317	Seminar in Management of Elementary Education	DELPS
2160	EDAD 318	Seminar: Management of Educational Institutions/Systems	DELPS
2161	EDAD 319	Seminar in Management of Higher Education	DELPS
2162	EDAD 331	Seminar: Economics of Education	DELPS
2163	EDAD 341	Field Project	DELPS
2164	EDAD 350	Seminar: Advanced Administrative Thought Applied to Education	DELPS
2165	EDAD 351	Seminar: Advanced Policy Analysis Applied to Education	DELPS
2166	EDAD 379	Research Seminar: Educational Management	DELPS
2167	EDAD 399	Research Seminar in Educational Management	DELPS
2168	EDART 102	Art Education	DCI
2169	EDART 106	Art Education and Human Development	DCI
2170	EDART 115	Art Production in Basic Education	DCI
2171	EDART 116	Advanced Art Production in Basic Education	DCI, Educ
2172	EDART 125	Art Appreciation in Basic Education	DCI
2173	EDART 135	Curriculum Design in Art Education	DCI
2174	EDART 165	Field Experiences in Art Education	DCI
2175	EDART 175	Teaching of Creative Arts in the Elementary School	DCI
2176	EDART 179	Teaching Art in the Secondary School	DELPS, DCI
2177	EDART 205	Foundations of Art Education	DCI
2178	EDART 235	Instructional Approaches and Techniques in Art Education	DCI
2179	EDART 245	Resource Materials Development in Art Education	DCI
2180	EDART 255	Assessment in Art Education	DCI
2181	EDART 275	Art Education for Special Purposes	DCI
2182	EDCI 101	Principles and Processes of Curriculum Development	DCI, DELPS
2183	EDCI 211	Curriculum Theory and Development	DELPS
2184	EDCI 214	Curriculum and Instructional Design	DELPS
2185	EDCI 215	Curriculum for Basic Education	DELPS
2186	EDCI 217	Curriculum Theory and Practice in Tertiary Education	DELPS
2187	EDCI 221	Instructional Procedures	DELPS, DCI
2188	EDCO 101	Introduction to Guidance	DELPS
2189	EDCO 102	Homeroom Guidance	DELPS
2190	EDCO 104	Guidance Strategies for Teachers	DELPS
2191	EDCO 201	Guidance	DELPS
2192	EDCO 202	Personality Adjustment and Guidance	DELPS
2193	EDCO 203	Psychological Testing in Guidance	DELPS
2194	EDCO 204	Theories and Techniques of Counseling	DELPS
2195	EDCO 205	Management of Student Personnel Services and Guidance Intervention Programs in Various Settings	DELPS
2196	EDCO 210	Personality Adjustment and Mental Hygiene	DELPS
2197	EDCO 211	Psychometric Techniques in Guidance	DELPS
2198	EDCO 212	Non-Psychometric Techniques in Guidance	DELPS
2199	EDCO 220	Theories and Techniques of Counseling	DELPS
2200	EDCO 221	Theories and Techniques of Counseling II	DELPS
2201	EDCO 223	Counseling Special Groups	DELPS
2202	EDCO 224	Special Topics in Counseling	DELPS
2203	EDCO 231	Student Development Services and Guidance Programs in Other Settings	DELPS
2204	EDCO 232	Career Education	DELPS
2205	EDCO 241	Group Guidance	DELPS
2206	EDCO 242	Guidance Workshop	DELPS
2207	EDCO 251	Research in Guidance	DELPS
2208	EDCO 270	Guidance Internship	DELPS
2209	EDCO 301	Epistemology of Guidance	DELPS
2210	EDCO 302	Seminar in Guidance	DELPS
2211	EDCO 303	Individual Testing	DELPS
2212	EDCO 304	Counseling Practicum	DELPS
2213	EDCO 305	Research Seminar in Student Personnel Work	DELPS
2214	EDCO 315	Individual Testing I	DELPS
2215	EDCO 316	Individual Testing II	DELPS
2216	EDCO 320	Counseling Practicum	DELPS
2217	EDCO 321	Counseling Practicum II	DELPS
2218	EDCO 323	Seminar in Counseling	DELPS
2219	EDCO 340	Internship in Student Personnel Work and Guidance Programs	DELPS
2220	EDCO 341	The Consulting Process in Guidance	DELPS
2221	EDCO 351	Research Seminar in Guidance	DELPS
2222	EDCO 370	Internship in Student Development Services and Guidance Intervention Programs	DELPS
2223	EDCS 101	Principles and Processes of Curriculum Development	DCI
2224	EDCS 211	Curriculum Theory and Development	DCI
2225	EDCS 214	Curriculum and Instructional Design	DCI
2226	EDCS 215	Curriculum for Basic Education	DCI
2227	EDCS 217	Curriculum Theory and Practice in Tertiary Education	DCI
2228	EDCS 221	Instructional Procedures	DCI
2229	EDCS 223	Principles of Elementary and Secondary Education	DCI
2230	EDCS 230	Distance Education: Theory, Research and Practice	DCI
2231	EDCS 301	Foundations of Curriculum Studies	DCI
2232	EDCS 302	Seminar in Curriculum Studies	DCI
2233	EDCS 303	Curriculum Planning	DCI
2234	EDCS 305	Curriculum Implementation	DCI
2235	EDCS 306	Curriculum Evaluation	DCI
2236	EDCS 307	Instructional Evaluation	DCI
2237	EDCS 308	Analysis of Curriculum Models Across Disciplines	DCI
2238	EDCS 311	Seminar in Designing Curriculum and Instruction	DCI
2239	EDFD 11	Introduction to Educational Theory and Practice	DCI
2240	EDFD 100	Developmental Psychology	DCI
2241	EDFD 100	Developmental Psychology for  Teaching 	DCI
2242	EDFD 110	Developmental Psychology	DCI
2243	EDFD 111	Psychology of Adolescence	DCI
2244	EDFD 113	Learning Styles of Children	DCI
2245	EDFD 116	Educational Psychology	DCI
2246	EDFD 120	Educational Thought and Practice	DCI
2247	EDFD 121	Introduction to Socio-Cultural Foundations of Education	DCI
2248	EDFD 140	Foundations of Values Education	DCI
2249	EDFD 141	Mga Sistema ng mga Halagahing Pilipino	DCI
2250	EDFD 142	Psychological Theories of Values Development	DCI
2251	EDFD 144	Teaching Strategies for Evaluative Reasoning in Secondary Values Education	DCI
2252	EDFD 145	Values Integration Across the Curriculum	DCI
2253	EDFD 147	Transformative Values Education	DCI
2254	EDFD 148	Learning Resources for Values Education	DCI
2255	EDFD 149	Special Topics in Values Education	DCI
2256	EDFD 160	Introductory Research Methodology in Education	DCI
2257	EDFD 161	Tests and Measurements	DCI
2258	EDFD 201	Psycho-Philosophical Foundations of Education	DCI
2259	EDFD 202	Cognitive Learning	DCI
2260	EDFD 203	Psychology of Teaching-Learning the Fundamental Subjects from Preschool Through Elementary Grades	DELPS, DCI
2261	EDFD 205	Practicum in Educational Psychology	DCI
2262	EDFD 206	Affective Learning	DCI
2263	EDFD 210	Human Development and Learning	DCI
2264	EDFD 211	Psychological Foundations of Education	DCI
2265	EDFD 212	Advanced Educational Psychology	DCI
2266	EDFD 214	Individual Differences and Learning	DCI, DCI
2267	EDFD 215	Issues and Trends in Educational Psychology	DCI
2268	EDFD 216	Cognitive Learning	DCI
2269	EDFD 218	Adult Learning: The Psychology of Adult Learners and Their Learning Styles	DCI
2270	EDFD 219	Issues and Trends in Educational Psychology	DCI
2271	EDFD 221	Socio-Cultural Foundations of Education:  A Comparative Approach	DCI
2272	EDFD 225	Educational Anthropology	DCI, DELPS
2273	EDFD 230	Comparative Education	DCI
2274	EDFD 231	Educational Sociology	DCI
2275	EDFD 241	Philosophy of Education	DCI
2276	EDFD 243	Philosophical and Educational Thought	DCI
2277	EDFD 245	Selected Topics in Philosophy for Teachers	DCI
2278	EDFD 247	Values and Education	DELPS, DCI
2279	EDFD 250	Methods in Educational Research	DCI
2280	EDFD 251	Philosophy of Curriculum	DCI
2281	EDFD 252	Statistical Method Applied to Education	DCI
2282	EDFD 253	Philosophical Critique of Pedagogical Principles and Practice	DELPS, DCI
2283	EDFD 255	Qualitative Research	DCI
2284	EDFD 257	Statistics for Test and Scale Development	DCI
2285	EDFD 260	Evaluation in Education	DCI
2286	EDFD 261	Theory and Methods of Evaluation	DCI
2287	EDFD 262	Psychometric Theory	DCI
2288	EDFD 263	Development of Instruments for Measuring Cognitive Learning	DCI
2289	EDFD 264	Development of Instruments for Measuring Non-Cognitive Learning	DCI
2290	EDFD 265	Practicum in Measurement and Evaluation	DCI
2291	EDFD 270	Comparative Education	DCI
2292	EDFD 271	Theory and Practice in Nonformal Education	DCI
2293	EDFD 272	Instructional Materials and Strategies in Non-Formal Education	DCI
2294	EDFD 279	Practicum in Educational Psychology	DCI
2295	EDFD 301	Ecology of Human Development and Learning	DCI
2296	EDFD 302	Seminar in the Psychology of Human Learning	DCI
2297	EDFD 303	Motivation in Education	DCI, DELPS
2298	EDFD 310	Seminar in Human Development	DCI
2299	EDFD 311	Seminar I: The Psychology of Human Development and Individual Differences	DCI
2300	EDFD 312	Seminar II: The Psychology of Human Development and Individual Differences	DCI
2301	EDFD 317	Selected Topics in Educational Psychology	DCI
2302	EDFD 318	Seminar: Research in Educational Psychology	DCI
2303	EDFD 320	Seminar in Philosophy of Philippine Education	DCI
2304	EDFD 321	Anthroethnography in Education	DCI
2305	EDFD 325	Special Topics in Anthropology of Education	DCI, DELPS
2306	EDFD 330	Seminar: Educational Sociology in Philippine Setting	DCI
2307	EDFD 331	Seminar: Educational Sociology in Philippine Setting	DCI
2308	EDFD 332	Education in Plural Societies	DCI
2309	EDFD 335	Special Topics in Sociology and Education	DCI
2310	EDFD 341	Seminar in Philosophy of Philippine Education	DCI
2311	EDFD 342	Seminar in Philippine Education	DCI
2312	EDFD 350	Research Seminar in Education	DCI
2313	EDFD 359	Seminar on Special Problems in Philosophy of Education	DCI
2314	EDFD 360	Test and Scale Construction	DCI
2315	EDFD 361	Practicum: Educational Measurements	DCI
2316	EDFD 382	Professional Laboratory Experiences in Teacher Education	DCI
2317	EDH 100	Fundamentals of Healthful Living	DCI
2318	EDH 101	Teaching of Science and Health in Elementary Schools	DCI
2319	EDH 110	Applied Microbiology and Epidemiology in Health Education	DCI
2320	EDH 115	Comprehensive School Health  Program	DCI
2321	EDH 120	Nutrition in Health Education	DCI
2322	EDH 125	Safety Education and First Aid	DCI
2323	EDH 125	Safety Education and First Aid	DCI
2324	EDH 130	Consumer Health Education	DCI
2325	EDH 140	Maternal and Child Health	DELPS, DCI
2326	EDH 150	The Teaching of Health Education	DCI
2327	EDH 160	Healthful School-Community Living	DCI, DELPS
2328	EDH 170	School Health Supervision	DCI, DELPS
2329	EDH 171	Community Organization for Health Education	DCI
2330	EDH 173	Sex and Sexuality Education	DCI
2331	EDH 174	Population Education	DCI
2332	EDH 201	Foundations of Health Education	DCI
2333	EDH 203	School Health Program	DCI
2334	EDH 204	Practicum in School Health	DCI, DELPS
2335	EDH 206	Community Organization for Health Education	DCI
2336	EDH 207	Principles and Strategies of Population Education	DCI, DELPS
2337	EDH 208	Seminar in Population Education	DCI
2338	EDH 209	Drug Education	DCI, DELPS
2339	EDH 210	Safety Education	DCI
2340	EDH 220	Practicum in Population Education	DCI
2341	EDH 279	Development and Evaluation of Instructional Materials for Health Education	DCI
2342	EDL 3	Phonology and Grammar of English	DCI
2343	EDL 101	Applied Linguistics for Teaching in the Early Grades	DCI
2344	EDL 105	The Development of Oral Language	DCI
2345	EDL 106	Mother Tongue: A Resource and Language of Teaching and Learning	DCI
2346	EDL 111	Phonology and Grammar of English for Language Teachers	DCI
2347	EDL 112	Palatunugan at Gramatika ng Filipino Para sa mga Guro ng Wika	DCI
2348	EDL 113	Communicative Grammar for Teachers of English in Basic Education	DCI
2349	EDL 121	Second Language Teaching	DCI
2350	EDL 122	Pagtuturo ng Filipino	DCI
2351	EDL 125	English for Teachers	DCI
2352	EDL 128	Teaching of Speech	DCI
2353	EDL 131	Teaching English for Academic and Professional Purposes	DCI
2354	EDL 132	Pagtuturo ng Filipino para sa Layuning Akademiko at Propesyonal	DCI
2355	EDL 140	Language Learning Instructional Materials Development	DCI
2356	EDL 141	Language Test Development	DCI
2357	EDL 142	Technology in Language Education	DCI
2358	EDL 201	Applied Linguistics for Communication Arts	DCI
2359	EDL 202	Communicative Grammar of English and Phonetics for Teachers	DCI
2360	EDL 203	Communicative Grammar of Filipino and Phonetics for Teachers	DCI
2361	EDL 205	Language Acquisition: Theories, Principles and Research	DCI
2362	EDL 211	Phonology of English for Teachers of English as a Second Language	DCI
2363	EDL 212	Phonology of Filipino for Teachers of Filipino as a Second Language	DCI
2364	EDL 213	Phonology of Spanish for Teachers of Spanish as a Second Language	DCI
2365	EDL 221	Second Language Teaching	DCI
2366	EDL 222	English for Special Purposes: Theory, Methods and Materials	DCI
2367	EDL 223	Filipino for Academic Purposes:  Theory, Methods and Materials	DCI
2368	EDL 231	Teaching Reading, Literary Appreciation and Writing in a Bilingual Context	DCI
2369	EDL 241	Language Test Development in Bilingual Context	DCI
2370	EDL 251	Production/Adaptation, Translation and Evaluation of Learning and Testing Materials	DCI
2371	EDL 252	Production of Instructional Materials in Pilipino	DCI
2372	EDL 253	Production of Instructional Materials in Spanish	DCI
2373	EDL 261	Supervision of Bilingual Education	DCI
2374	EDL 262	Supervision of Instruction in Filipino	DCI
2375	EDL 263	Supervision of Instruction in Spanish 	DCI
2376	EDL 271	Theory and Craft of Translation in the School Curriculum	DCI
2377	EDL 301	Seminar: Grammar of Contemporary English/Filipino for Teachers	DCI, DELPS
2378	EDL 304	Psycholinguistics and Language Learning/Teaching	DCI
2379	EDL 305	Seminar: Theory and Practice of Language Acquisition in Bilingual Education	DCI
2380	EDL 321	Seminar: Issues and Trends in Language Teaching	DCI, DELPS
2381	EDL 322	Seminar in Methods and Techniques in Teaching a Second Language	DCI
2382	EDL 331	Seminar: Language Across the Curriculum	DCI
2383	EDL 341	Oral and Written Discourse in Language Education	DCI, DELPS
2384	EDL 345	Analysis and Evaluation of Language Teaching	DCI
2385	EDL 351	Practicum: Development of Instructional Materials and Evaluation Instruments in Language Teaching	DCI
2386	EDL 361	Seminar: Instructional Management of Bilingual Education Programs	DCI
2387	EDL 365	Planning and Administration of Language Programs	DCI
2388	EDL 371	Research Colloquium in Applied Linguistics	DCI
2389	EDLR 101	Foundations of Language and Reading	DCI
2390	EDLit 101	Theories and Approaches to Literacy Instruction	DCI
2391	EDLit 110	Teaching of Reading and Literature	DCI
2392	EDLit 122	Children's Literature in the Primary Grades	DCI
2393	EDLit 123	Children's Literature in the Intermediate Grades	DCI
2394	EDLit 151	Reading Diagnosis and Remediation 	DCI
2395	EDLit 152	Diagnostic Teaching of Literacy	DCI
2396	EDLit 169	Theory and Practice in Literacy Education for Learners in the Early Grades	DCI
2397	EDLit 179	Theory and Practice in Literacy Education for Learners in the Intermediate Grades	DCI
2398	EDLit 189	Theory and Practice in the Teaching of Literacy in the Content Areas	DCI
2399	EDMA 101	Fundamentals of Music and Art in the Elementary Grades	DCI
2400	EDNFE 221	Theory and Practice in Nonformal Education	DCI
2401	EDNFE 222	Instructional Materials and Strategies in Nonformal Education	DCI, DELPS
2402	EDP 101	Instructional Media Resources	DCI
2403	EDP 105	Social Studies Education	DCI
2404	EDP 111	Curriculum and Instruction I	DCI
2405	EDP 112	Curriculum and Instruction II	DCI
2406	EDP 120	Contemporary Concerns in Social Studies	DCI
2407	EDP 124	The Teaching of Home Economics	DCI
2408	EDP 126	The Teaching of Physical Education	DCI
2409	EDP 127	The Teaching of Shop Work	DCI
2410	EDP 128	Music Education in the Elementary School	DCI
2411	EDP 129	Music Methods in High School	DCI
2412	EDP 131	Practical Electricity	DCI
2413	EDP 132	General Metals	DCI
2414	EDP 133	Sheet Metal Work	DCI
2415	EDP 134	Art Metal Work	DCI
2416	EDP 135	Auto Mechanics	DCI
2417	EDP 136	Household Mechanics	DCI
2418	EDP 137	Arts and Crafts	DCI
2419	EDP 138	Shop Layouts, Organization and Management, and Equipment Selection	DCI
2420	EDP 139	Principles and Practices of Vocational Education	DCI
2421	EDP 140	Teaching in the Early Grades (K-2)	DCI
2422	EDP 140	Organization and Management of School Shops	DCI
2423	EDP 141	Machine Shop I	DCI
2424	EDP 142	Machine Shop II	DCI
2425	EDP 143	Forging, Floor and Bench Work	DCI
2426	EDP 144	Advanced Lathe Operation	DCI
2427	EDP 145	Welding Processes	DCI
2428	EDP 146	Milling Machine and Grinding Operations	DCI
2429	EDP 147	Gear Cutting and Surface Practice	DCI
2430	EDP 148	Pattern Making and Foundry Work	DCI
2431	EDP 149	Sheet Metal Pattern Layout I	DCI
2432	EDP 150	Sheet Metal Pattern Layout II	DCI
2433	EDP 151	Benchwork	DCI
2434	EDP 152	Machine Woodwork	DCI
2435	EDP 153	Commercial Woodwork	DCI
2436	EDP 154	Furniture Upholstering	DCI
2437	EDP 155	Cabinet Making	DCI
2438	EDP 156	Finishing	DCI
2439	EDP 171	Professional Laboratory Experiences	DCI
2440	EDP 175	Teaching Internship	DCI
2441	EDP 201	Utilization of Instructional Media System in Education	DCI
2442	EDP 202	Audio Recordings and Radio Broadcast Programs for Instruction	DCI
2443	EDP 203	Management of Educational Technology Programs	DCI
2444	EDP 204	Production of Instructional Materials I	DCI
2445	EDP 206	Instructional Development System	DCI
2446	EDP 207	Projected Two-Dimensional Materials for Instruction	DCI
2447	EDP 212	Curriculum for Elementary Education	DCI
2448	EDP 213	Secondary School Curriculum	DCI
2449	EDP 214	Curriculum for Higher Education	DCI
2450	EDP 245	Instructional Analysis	DCI
2451	EDP 246	Comparative Studies in Teacher Education	DCI
2452	EDP 252	Seminar in Art Education	DCI
2453	EDP 260	Foundations of Teaching in the Early Grades	DCI
2454	EDP 261	Curriculum Development in the Early Grades	DCI
2455	EDP 262	Assessment in the Early Grades	DCI
2456	EDP 311	Seminar in Designing Curriculum and Instruction	DCI
2457	EDP 312	Field Project in Curriculum and Instruction	DCI
2458	EDP 322	Improvement of Instruction in Elementary School Subjects	DCI
2459	EDR 201	The Psychology of Reading	DCI
2460	EDR 210	Trends in Reading Instruction	DCI
2461	EDR 211	Reading in the Content Areas	DCI
2462	EDR 220	Selection and Evaluation of Reading Materials	DCI
2463	EDR 221	Literature-Based Reading Programs	DCI
2464	EDR 230	Production of Instructional Materials in Reading	DCI
2465	EDR 235	Development of Instructional and Assessment Materials in Reading	DCI
2466	EDR 240	Tests in Reading	DCI
2467	EDR 241	Construction of Reading Tests	DCI
2468	EDR 251	Case Studies in Reading	DCI
2469	EDR 252	Early Reading Intervention Programs	DCI
2470	EDR 255	Alternative Literacy Programs	DCI
2471	EDR 277	Practicum in Teaching Beginning Reading	DCI
2472	EDR 278	Practicum in Corrective Reading	DCI
2473	EDR 279	Group Remediation in Reading in the High School	DCI
2474	EDR 305	Theoretical Models of Reading	DCI
2475	EDR 306	The Psychology of Writing	DCI
2476	EDR 315	Program Development in Reading Education	DCI
2477	EDR 326	Seminar on Children's Literature Across Cultures	DCI
2478	EDR 330	Writing for Reading Education	DCI
2479	EDR 335	Assessment of Reading Abilities	DCI
2480	EDR 356	The Reading Clinic	DCI
2481	EDR 360	Research Colloquium in Reading Education	DCI
2482	EDRE 101	Introductory Research Methodology in Education	DELPS
2483	EDRE 146	Educational Testing and Assessment	DELPS
2484	EDRE 201	Methods in Educational Research	DELPS
2485	EDRE 202	Research Design in Education	DELPS
2486	EDRE 203	Qualitative Research	DELPS
2487	EDRE 216	Evaluation in Education	DELPS
2488	EDRE 217	Theory and Methods of Evaluation	DELPS
2489	EDRE 231	Statistical Methods Applied to Education	DELPS
2490	EDRE 232	Statistics for Test and Scale Development	DELPS
2491	EDRE 246	Psychometric Theory	DELPS
2492	EDRE 247	Development of Instruments for Measuring Cognitive Learning	DELPS
2493	EDRE 248	Development of Instruments for Measuring Non-Cognitive Learning	DELPS
2494	EDRE 261	Data Analysis	DELPS
2495	EDRE 271	Selected Topics in Educational Research	DELPS
2496	EDRE 275	Practicum in Measurement and Evaluation	DELPS
2497	EDRE 301	Advanced Research Design	DELPS
2498	EDRE 302	Research Seminar in Education	DELPS
2499	EDRE 316	Qualitative Evaluation in Education	DELPS
2500	EDRE 317	Advanced Educational Evaluation	DELPS
2501	EDRE 331	Seminar in Advanced Statistics Applied to Education	DELPS
2502	EDRE 346	Test and Scale Development	DELPS
2503	EDRE 361	Advanced Data Analysis	DELPS
2504	EDRE 371	Special Topics in Research and Evaluation	DELPS
2505	EDRE 375	Practicum in Research and Evaluation	DELPS
2506	EDSC 101	The Teaching of Science	DCI
2507	EDSC 102	Teaching and Learning Physical Science	DCI
2508	EDSC 103	Teaching and Learning Life Science	DCI
2509	EDSC 106	Teaching STEM Research in Basic Education	DCI
2510	EDSC 111	Fundamental Mathematics Concepts and Methods for Elementary School Teachers	DCI
2511	EDSC 111	Fundamental Mathematics Concepts and Methods for Elementary School Teachers	DCI
2512	EDSC 113	Beginning Number and Science Concepts in Children	DCI
2513	EDSC 121	The Teaching of Mathematics	DCI
2514	EDSC 122	Diagnosis and Remediation in Basic Education Mathematics	DCI
2515	EDSC 123	Concepts and Methods for Selected Topics in Basic Education Mathematics	DCI
2516	EDSC 124	Geometry for Basic Education Teachers	DCI
2517	EDSC 125	Geometry for Elementary School Teachers	DCI
2518	EDSC 126	Fundamental Mathematics Concepts and Methods for Elementary School Teachers	DCI
2519	EDSC 132	Laboratory Work in the Teaching of Elementary School Science	DCI
2520	EDSC 142	Laboratory Work in the Teaching of High School General Science	DCI
2521	EDSC 152	Teaching of High School Biology	DCI
2522	EDSC 162	Teaching of High School Chemistry	DCI
2523	EDSC 172	Teaching of High School Physics	DCI
2524	EDSC 205	Selected Topics in Biological Science for Science Teachers	DCI
2525	EDSC 206	Selected Topics in Environmental Science for Science Teachers	DCI
2526	EDSC 207	Selected Topics in Physical Science for Science Teachers	DCI
2527	EDSC 208	Instructional Strategies, Trends and Issues in Environmental Education	DCI
2528	EDSC 211	Instructional Planning and Procedures for Elementary School Mathematics	DCI
2529	EDSC 212	Diagnosis and Remediation in Elementary School Mathematics	DCI
2530	EDSC 213	Selected Topics in Modern Algebra and Set Theory for Elementary School Teachers	DCI
2531	EDSC 214	Selected Topics in Geometry for Elementary School Teachers	DCI
2532	EDSC 215	Selected Topics in Number Theory for Elementary School Teachers	DCI
2533	EDSC 216	Selected Topics in Geometry for Elementary School Teachers	DCI
2534	EDSC 217	Selected Topics in Modern Algebra, Set Theory and History of Mathematics for Elementary School Teachers	DCI
2535	EDSC 221	Instructional Planning and Procedures for Secondary School Mathematics	DCI
2536	EDSC 222	Instructional Planning and Procedures for High School Mathematics II	DCI
2537	EDSC 225	Selected Topics in Mathematics for Secondary School Teachers	DCI
2538	EDSC 226	Selected Topics in Mathematics for Secondary School Physics Teachers	DCI
2539	EDSC 226	Selected Topics in Mathematics for Secondary School Science Teachers	DCI
2540	EDSC 227	Selected Topics in Mathematics for Secondary School Science Teachers	DCI
2541	EDSC 227	Selected Topics in Mathematics for Secondary School Physics Teachers	DCI
2542	EDSC 232	Intensive Laboratory Course in Elementary School Science	DCI
2543	EDSC 241	General Science for Basic Education:  Instructional Materials and Curriculum Patterns	DCI
2544	EDSC 242	Intensive Laboratory Course in General Science for Basic Education	DCI
2545	EDSC 244	Science for Basic Education Teachers	DCI
2546	EDSC 244.1	Laboratory Course in General Science for Basic Education	DCI
2547	EDSC 251	Biology in Secondary Schools	DCI
2548	EDSC 252	Intensive Laboratory Course in Secondary School Biology	DCI
2549	EDSC 253	Selected Topics in Biological Science for Science Teachers	DCI
2550	EDSC 254	Biology for Secondary School Teachers	DCI
2551	EDSC 254.1	Laboratory Course in Secondary School Biology	DCI
2552	EDSC 262	Intensive Laboratory Course in Secondary School Chemistry	DELPS, DCI
2553	EDSC 263	Selected Topics in Organic Chemistry for Secondary School Teachers	DCI
2554	EDSC 264	Chemistry for Secondary School Teachers I	DCI
2555	EDSC 264.1	Laboratory Course in Secondary School Chemistry	DCI
2556	EDSC 265	Chemistry for Secondary School Teachers II	DCI
2557	EDSC 266	Selected Topics in Organic Chemistry for Secondary School Teachers	DCI
2558	EDSC 267	Selected Topics in Physical Chemistry for Secondary School Teachers	DCI
2559	EDSC 271	Physics in Secondary Schools	DCI
2560	EDSC 272	Intensive Laboratory Course in Secondary School Physics	DCI
2561	EDSC 274	Physics for Secondary School Teachers I	DCI
2562	EDSC 274.1	Laboratory Course in Secondary School Physics	DCI
2563	EDSC 275	Physics for Secondary School Teachers II	DCI
2564	EDSC 278	Instructional Planning and Procedures for College Physics	DCI
2565	EDSC 279	Selected Topics in Physics for Physics Teachers	DCI
2566	EDSC 281	Instructional Strategies, Trends and Issues in Environmental Education	DCI
