	course_code	units
552	PE 2 AR	2.0
553	PE 2 SCL	2.0
554	PE 2 TD	2.0
555	PE 2 MF	2.0
556	PE 2 Y	2.0
557	PE 2 FFB	2.0
558	PE 2 LTD	2.0
559	PE 2 BW-T	2.0
560	PE 2 STD	2.0
561	PE 2 WT	2.0
562	PE 2 FLB	2.0
563	PE 2 WT-M	2.0
564	PE 2 CT	2.0
565	PE 2 PG	2.0
566	PE 2 FB	2.0
567	PE 2 CYF	2.0
568	PE 2 OR	2.0
569	PE 2 TK	2.0
570	PE 2 RF	2.0
571	PE 2 CPW	2.0
572	PE 2 SCD	2.0
573	PE 2 CH	2.0
574	PE 2 BS-W	2.0
575	PE 2 TN	2.0
576	PE 2 SCR	2.0
577	PE 2 PF	2.0
578	PE 2 CP	2.0
579	PE 2 H	2.0
580	PE 2 ICD	2.0
581	PE 2 LD	2.0
582	PE 2 HIIT	2.0
583	PE 2 SD	2.0
584	PE 2 PB	2.0
585	PE 2 MBD	2.0
586	PE 2 SASD	2.0
587	PE 2 CHD	2.0
588	PE 2 FFD	2.0
589	PE 2 ST	2.0
590	PE 2 JU	2.0
591	PE 2 MJ	2.0
592	PE 2 MP	2.0
593	PE 2 ED	2.0
594	PE 2 BNB	2.0
595	PE 2 TT	2.0
596	PE 3 BW-T	2.0
597	PE 3 CH	2.0
598	PE 3 JU	2.0
599	PE 3 STD	2.0
600	PE 4 VR	2.0
601	PEd 91	3.0
602	PEd 92	3.0
603	PEd 93	3.0
604	PEd 100	3.0
605	PEd 120.1	3.0
606	PEd 121.1	3.0
607	PEd 121.2	3.0
608	PEd 122.2	3.0
609	PEd 130.1	3.0
610	PEd 132.1	3.0
611	PEd 133.1	3.0
612	PEd 134.1	3.0
613	PEd 135.1	3.0
614	PEd 139.1	3.0
615	PEd 151	3.0
616	PEd 152	3.0
617	PEd 153.1	3.0
618	PEd 155.1	3.0
619	PEd 156.1	3.0
620	PEd 158	3.0
621	PEd 161.1	3.0
622	PEd 173	3.0
623	PEd 174	3.0
624	PEd 176	3.0
625	PEd 177	3.0
626	PEd 190	3.0
627	PEd 194	3.0
628	PEd 196	3.0
629	PEd 197	5.0
630	PHILARTS 1	3.0
631	PI 100	3.0
632	POLSC 11	3.0
633	POLSC 14	3.0
634	POLSC 101	3.0
635	POLSC 110	3.0
636	POLSC 111	3.0
637	POLSC 120	3.0
638	POLSC 121	3.0
639	POLSC 122	3.0
640	POLSC 125	3.0
641	POLSC 130	3.0
642	POLSC 131	3.0
643	POLSC 137	3.0
644	POLSC 138	3.0
645	POLSC 144	3.0
646	POLSC 145	3.0
647	POLSC 151	3.0
648	POLSC 153	3.0
649	POLSC 157	3.0
650	POLSC 180	3.0
651	POLSC 181	3.0
652	POLSC 185	3.0
653	POLSC 187	3.0
654	POLSC 188	3.0
655	POLSC 199	3.0
656	POLSC 201	3.0
657	POLSC 210	3.0
658	POLSC 211	3.0
659	POLSC 258	3.0
660	POLSC 283	3.0
661	POLSC 299	3.0
662	POLSC 300	6.0
663	POLSC 320	3.0
664	POLSC 331	3.0
665	POLSC 400	9.0
666	PS 21	3.0
667	PS 201	3.0
668	PS 202	3.0
669	PS 210	3.0
670	PS 214	3.0
671	PS 215	3.0
672	PS 221	3.0
673	PS 225	3.0
674	PS 235	3.0
675	PS 298.1	3.0
676	PS 298.2	3.0
677	PS 299	3.0
678	PS 300	6.0
679	PS 301	3.0
680	PS 302	3.0
681	PS 330	3.0
682	PS 398	3.0
683	PS 399	3.0
684	PS 400	12.0
685	Pan Pil 17	3.0
686	Pan Pil 19	3.0
687	Pan Pil 101	3.0
688	Pan Pil 103	3.0
689	Pan Pil 105	3.0
690	Pan Pil 110	3.0
691	Pan Pil 120	3.0
692	Pan Pil 130	3.0
