course_code,course_title,offering_unit,units
Anthro 132,Introduction to Ecological Anthropology,DAnthro,3.0
Anthro 133,Economic Anthropology,DAnthro,3.0
Anthro 141,Introduction to Political Anthropology,DAnthro,3.0
Anthro 151,Comparative Religion,DAnthro,3.0
Anthro 161,Introduction to Folklore,DAnthro,3.0
Anthro 164,Folklore of Southeast Asia and Oceania,DAnthro,3.0
Anthro 165,Philippine Folklore,DAnthro,3.0
Anthro 167,Anthropology of Health Care,DAnthro,3.0
Anthro 170,Linguistic Anthropology,DAnthro,3.0
Anthro 172,Peasant Communities,DAnthro,3.0
Anthro 173,Introduction to Urban Anthropology,DAnthro,3.0
Anthro 175,Applied Anthropology,DAnthro,3.0
Anthro 179,Culture Change,DAnthro,3.0
Anthro 181,Social Anthropology,DAnthro,3.0
Anthro 182,Culture and Personality,DAnthro,3.0
Anthro 185,Introduction to Philippine Culture,DAnthro,3.0
Anthro 187,Sex and Culture,DAnthro,3.0
Anthro 189,Introduction to Anthropological Theory,DAnthro,3.0
Anthro 190,Field Methods in Anthropology,DAnthro,3.0
Anthro 194,Research Methods in Linguistic Anthropology,DAnthro,3.0
Anthro 195,Field Methods in Archaeology,DAnthro,3.0
Anthro 196,Field Methods in Social Anthropology,DAnthro,3.0
Anthro 197,Field Methods in Biological Anthropology,DAnthro,3.0
Anthro 197.1,Field Methods in Biological Anthropology Laboratory,DAnthro,1.0
Anthro 198,Special Topics,DAnthro,3.0
Anthro 202,Historical Foundations of Physical Anthropology,DAnthro,3.0
Anthro 205,Readings in Physical Anthropology,DAnthro,3.0
Anthro 212,World Archaeology,DAnthro,3.0
Anthro 215,Philippine Archaeology,DAnthro,3.0
Anthro 216,Field Work in Philippine Archaeology,DAnthro,3.0
Anthro 217,Seminar in Southeast Asian Archaeology,DAnthro,3.0
Anthro 218,Seminar in Philippine Pre-History,DAnthro,3.0
Anthro 219,Special Problems in Museology,DAnthro,3.0
Anthro 223,Philippine Ethnic Groups,DAnthro,3.0
Anthro 224,World Ethnography,DAnthro,3.0
Anthro 225,Philippine Culture and Society,DAnthro,3.0
Anthro 232,Seminar in Ecological Anthropology,DAnthro,3.0
Anthro 235,Seminar in Culture and Population,DAnthro,3.0
Anthro 236,Seminar in Economic Organization and Cultural Behavior,DAnthro,3.0
Anthro 245,Research in Philippine Custom Law and Political System,DAnthro,3.0
Anthro 246,Seminar in Political Anthropology,DAnthro,3.0
Anthro 251,Seminar in Religious Systems,DAnthro,3.0
Anthro 261,Seminar in Asian Traditions,DAnthro,3.0
Anthro 262,Seminar in Myths and Rituals,DAnthro,3.0
Anthro 265,Field Research in Philippine Folklore,DAnthro,3.0
Anthro 266,Seminar in Folk Traditions,DAnthro,3.0
Anthro 267,Advanced Medical Anthropology,DAnthro,4.0
Anthro 270,Seminar in Anthropological Linguistics,DAnthro,3.0
Anthro 273,Seminar in Urban Anthropology,DAnthro,3.0
Anthro 274,The Village Community,DAnthro,3.0
Anthro 275,Seminar in Problems of Contemporary Culture Change,DAnthro,3.0
Anthro 277,Seminar in Development Anthropology,DAnthro,3.0
Anthro 278,Special Problems in Philippine Cultural Anthropology,DAnthro,3.0
Anthro 279,Special Problems in Mindanao Studies,DAnthro,3.0
Anthro 280,Special Problems in Philippine Communities,DAnthro,3.0
Anthro 282,Seminar in Culture and Personality,DAnthro,3.0
Anthro 287,Seminar in Sex and Culture,DAnthro,3.0
Anthro 289,Special Problems in the Anthropology of Education,DAnthro,3.0
Anthro 291,Special Problems in Asian Anthropology,DAnthro,3.0
Anthro 292,Seminar in Anthropological Theory,DAnthro,3.0
Anthro 293,Seminar in Structural Anthropology,DAnthro,3.0
Anthro 295,Special Problems in Philippine and Oceanic Anthropology,DAnthro,5.0
Anthro 297,Seminar in Research Design and Methods,DAnthro,3.0
Anthro 298,Research Methods in Physical Anthropology,DAnthro,3.0
Anthro 299,Independent Studies,DAnthro,3.0
Anthro 300,Master's Thesis,DAnthro,3.0
Anthro 400,PhD Dissertation,DAnthro,3.0
App Physics 155,Computer Methods in Physics I,NIP,4.0
App Physics 156,Computer Methods in Physics II,NIP,4.0
App Physics 157,Computational Analysis and Modeling in Physics,NIP,4.0
App Physics 167,Applied Optics,NIP,3.0
App Physics 171,Introductory Crystallography,NIP,3.0
App Physics 173,Solid State Physics,NIP,3.0
App Physics 175,Materials Physics I,NIP,3.0
App Physics 176,Materials Physics II,NIP,3.0
App Physics 181,Physical Electronics I,NIP,4.0
App Physics 182,Physical Electronics II,NIP,4.0
App Physics 183,Control Systems Approach to Physics Modeling,NIP,3.0
App Physics 184,Physical Electronics and Instrumentation,NIP,4.0
App Physics 185,Instrumentation Physics I,NIP,4.0
App Physics 186,Instrumentation Physics II,NIP,4.0
App Physics 187,Photonics and Applied Optics,NIP,4.0
App Physics 195,Special Topics,NIP,3.0
App Physics 199,Undergraduate Research,NIP,3.0
App Physics 200,Undergraduate Thesis,NIP,3.0
Aral Pil 300,Tesis,DFPP,6.0
Arch 1,Architectural Communication I:  Mechanical Drawing,Arch,3.0
Arch 2,Architectural Communication II: Graphic Visualization and Representation Techniques,Arch,3.0
Arch 3,Architectural Communication III: Architectural Presentation Techniques,Arch,3.0
Arch 4,Architectural Communication IV: Introduction to Computer-Aided Design and Digital Visualization,Arch,3.0
Arch 5,Architectural Communication V: Digital Visualization in Architecture,Arch,2.0
Arch 10,Architectural Design I:  Foundations of Design,Arch,2.0
Arch 16,"History, Theory and Criticism I: Introduction to Architecture",Arch,2.0
Arch 17,"History, Theory and Criticism II: Philippine Architecture",Arch,2.0
Arch 18,"History, Theory and Criticism III: Architecture of Asia and the Pacific",Arch,2.0
Arch 19,"History, Theory and Criticism IV: World Architecture",Arch,2.0
Arch 20,Architectural Design II:  Design and Intra-personal Spaces,Arch,2.0
Arch 21,Architectural Design III: Design and Inter-personal Spaces,Arch,3.0
Arch 22,Architectural Design IV: Design and Social Space,Arch,3.0
Arch 23,Building Construction I: Materials of Building Technology,Arch,3.0
Arch 24,Building Construction II: Simple Frame Construction,Arch,3.0
Arch 28,Architectural Structures III: Statics and Strength of Materials for Buildings,Arch,4.0
Arch 31,Architectural Design V: Site Context and Architecture,Arch,3.0
Arch 32,"Architectural Design VI: Architecture, Technology and the Environment",Arch,3.0
Arch 33,Building Construction III: Heavy Frame Construction,Arch,3.0
Arch 35,Utilities I: Plumbing and Sanitary Services in Buildings,Arch,3.0
Arch 55,Design with Nature: Tropical Design,Arch,2.0
Arch 57,Practice and Governance I: Building Laws,Arch,3.0
Arch 60,Planning and Urban Design I: Site Planning and Landscape Architecture,Arch,3.0
Arch 75,Architectural Research: Basic Research Methods in Architecture,Arch,2.0
Arch 105,Architectural Communication VII: Theory of Color,Arch,3.0
Arch 134,Building Construction IV: Building Systems and Technology,Arch,3.0
Arch 136,Utilities II: Mechanical and Electrical Systems of Buildings,Arch,3.0
Arch 140,Utilities VI: Utilities for Building Interiors,Arch,3.0
Arch 141,Architectural Design VII: Integrative Design Project I,Arch,4.0
Arch 142,Architectural Design VIII: Integrative Design Project II,Arch,4.0
Arch 143,Utilities III: Architectural Lighting,"Arch, Arch",3.0
Arch 147,Utilities IV: Architectural Acoustics,Arch,3.0
Arch 149,Utilities VIII: Environmental Acoustics,Arch,3.0
Arch 156,Architectural Design XI: Evaluation of Architectural Design,Arch,3.0
Arch 158,Practice and Governance II: Professional Services of the Architect,Arch,3.0
Arch 159,"Practice and Governance III: Finance, Taxation, Civics and Land Reform for Architects",Arch,2.0
Arch 161,Planning and Urban Design II: Fundamentals of Urban Design and Community Architecture,Arch,3.0
Arch 162,Planning and Urban Design III: Introduction to Urban and Regional Planning,Arch,3.0
Arch 163,Planning and Urban Design IV: Socio-Cultural and Institutional Aspects of Housing,Arch,3.0
Arch 171,Architectural Structures: Form-Finding in Structures I,Arch,4.0
Arch 172,Architectural Structures: Form-Finding in Structures II,Arch,4.0
Arch 176,Utilities V: Health and Safety in Buildings,Arch,2.0
Arch 199.1,Architectural Design IX:  A Comprehensive Design Project (Pre-design to Schematic Development),Arch,4.0
Arch 199.2,Architectural Design X: A Comprehensive Design Project (Design Development),Arch,4.0
Arch 201,Introduction to Architectural  Research,Arch,3.0
Arch 202,Dynamics of Architectural Space,Arch,3.0
Arch 204,Evolution of Space in Architecture,Arch,3.0
Arch 205,Tropical Architecture,Arch,3.0
Arch 206,Management for Architectural Practice,Arch,3.0
Arch 207,Computer-Aided Design,Arch,3.0
Arch 208,Designing with Nature,Arch,3.0
Arch 209,Decision-Making for Architects,Arch,3.0
Arch 211,Fire Safety in Buildings,Arch,3.0
Arch 212,Energy Conservation in Buildings,Arch,3.0
Arch 213,Quantitative Methods for Architectural Analysis,Arch,3.0
Arch 221,Architectural Design I,Arch,3.0
Arch 222,Architectural Design II,Arch,3.0
Arch 223,Architectural Design III,Arch,3.0
Arch 231,Elements of Community Architecture,Arch,3.0
Arch 232,Community Architecture I,Arch,3.0
Arch 233,Community Architecture II,Arch,3.0
Arch 234,Community Architecture III,Arch,3.0
Arch 235,Service and Utility Systems,Arch,3.0
Arch 236,Movement Systems:  Needs and Facilities,Arch,3.0
Arch 251,Structural Concepts,Arch,3.0
Arch 252,Structural Systems in Architecture I,Arch,3.0
Arch 254,Environmental Technology I,Arch,3.0
Arch 255,Environmental Technology II,Arch,3.0
