course_code,course_title,offering_unit,units
MuP 21 STG Ce,Cello,"DWP, DKey, DVMT, Musico, DSCM",3.0
MuP 21 BR Trb,Trombone,"Musico, DKey, DVMT, DSCM, DWP",3.0
MuP 21 Si,Sitar,"Musico, DKey, DSCM, DVMT, DWP",1.0
MuP 21 BR Tpt,Trumpet,"DSCM, DVMT, DKey, Musico, DWP",3.0
MuP 21 BR Tu,Tuba,"DWP, DKey, DSCM, Musico, DVMT",3.0
MuP 21 Ba,Banduria,"DVMT, Musico, DWP, DSCM, DKey",1.0
MuP 21 PIC Fl,Piccolo Flute,"DWP, Musico, DSCM, DKey, DVMT",3.0
MuP 21 STG Hrp,Harp,"DSCM, Musico, DKey, DWP, DVMT",3.0
MuP 21 WWD Sax,Saxophone,"Musico, DVMT, DSCM, DKey, DWP",3.0
MuP 21 BR Fr,French Horn,"DSCM, DKey, Musico, DWP, DVMT",3.0
MuP 21 WWD Cla,Clarinet,"DWP, Musico, DKey, DSCM, DVMT",3.0
MuP 21 BR,Brass,"Musico, DKey, DVMT, DWP, DSCM",1.0
MuP 21 Ka,Kalingga,"DSCM, DVMT, Musico, DKey, DWP",3.0
MuP 21 STG Db,Double Bass,"DVMT, DWP, DSCM, DKey, Musico",3.0
MuP 30 STG Vn,Violin,"Musico, DVMT, DSCM, DWP, DKey",2.0
MuP 30 STG,Bowed and Guitar,"DWP, Musico, DVMT, DSCM, DKey",2.0
MuP 30 STG Gtr,Guitar,"DVMT, DKey, DWP, Musico, DSCM",2.0
MuP 30 PNO,Piano,"DWP, DKey, Musico, DSCM, DVMT",2.0
MuP 30 WWD,Woodwind,"DSCM, DWP, Musico, DKey, DVMT",2.0
MuP 30 KT,Koto,"DKey, DVMT, DSCM, DWP, Musico",2.0
MuP 30 VMT,Voice and Music Theatre,"DWP, DSCM, Musico, DKey, DVMT",2.0
MuP 30 BR,Brass,"Musico, DKey, DWP, DSCM, DVMT",2.0
MuP 30 PERC,Percussion,"DSCM, Musico, DVMT, DKey, DWP",2.0
MuP 30 Ku,Kulintang,"Musico, DSCM, DKey, DVMT, DWP",2.0
MuP 30 Ka,Kalinga,"DWP, DVMT, DKey, DSCM, Musico",2.0
MuP 31 AL,Afro Latin Instrument,"DVMT, DSCM, DWP, DKey, Musico",3.0
MuP 31 WWD Bas,Bassoon ,"DWP, DSCM, DVMT, Musico, DKey",3.0
MuP 31 PIC Fl,Piccolo Flute,"DVMT, DKey, DSCM, Musico, DWP",3.0
MuP 31 STG Vn,Violin,"DWP, DSCM, DVMT, Musico, DKey",3.0
MuP 31 OR,Organ,"DSCM, DWP, DVMT, DKey, Musico",3.0
MuP 31 STG Va,Viola,"DSCM, DWP, DVMT, Musico, DKey",1.0
MuP 31 WWD Bas,Bassoon ,"DVMT, DSCM, Musico, DKey, DWP",3.0
MuP 31 STG,String Instrument,"Musico, DKey, DVMT, DWP, DSCM",1.0
MuP 31 Ba,Banduria,"DWP, Musico, DSCM, DVMT, DKey",3.0
MuP 31 Ka,Kalingga,"DVMT, DKey, DSCM, DWP, Musico",3.0
MuP 31 BR Tpt,Trumpet,"Musico, DWP, DVMT, DKey, DSCM",3.0
MuP 31 WWD Cla,Clarinet,"DSCM, Musico, DWP, DKey, DVMT",3.0
MuP 31 WWD Sax,Saxophone,"Musico, DVMT, DWP, DKey, DSCM",3.0
MuP 31 WWD Fl,Flute,"Musico, DWP, DSCM, DKey, DVMT",3.0
MuP 31 VMT,Voice and Music Theatre,"Musico, DKey, DVMT, DWP, DSCM",3.0
MuP 31 KT,Koto,"DWP, Musico, DKey, DSCM, DVMT",3.0
MuP 31 OR,Organ,"DKey, DVMT, Musico, DSCM, DWP",3.0
MuP 31 Ka,Kalinga,"DSCM, DWP, DVMT, DKey, Musico",3.0
MuP 31 PERC,Percussion,"DVMT, Musico, DWP, DKey, DSCM",3.0
MuP 31 PIC Trp,Piccolo Trumpet,"DKey, DSCM, DVMT, Musico, DWP",3.0
MuP 31 STG Va,Viola,"Musico, DSCM, DKey, DVMT, DWP",1.0
MuP 31 WWD,Woodwind Instrument,"Musico, DKey, DWP, DVMT, DSCM",3.0
MuP 31 STG Gtr,Guitar,"DSCM, DKey, DWP, DVMT, Musico",3.0
MuP 31 BR Tu,Tuba,"DWP, DSCM, Musico, DVMT, DKey",1.0
MuP 31 STG Db,Double Bass,"DKey, Musico, DVMT, DWP, DSCM",1.0
MuP 31 WWD,Woodwind Instrument,"DVMT, DSCM, DWP, Musico, DKey",3.0
MuP 31 VMT,Voice and Music Theatre,"DKey, DVMT, Musico, DWP, DSCM",3.0
MuP 31 PIC Fl,Piccolo Flute,"DWP, Musico, DSCM, DVMT, DKey",3.0
MuP 31 Ku,Kulintang,"Musico, DVMT, DSCM, DKey, DWP",3.0
MuP 31 BR Tpt,Trumpet,"DWP, DSCM, DVMT, DKey, Musico",3.0
MuP 31 STG Ce,Cello,"DWP, DVMT, DKey, Musico, DSCM",3.0
MuP 31 BR Tu,Tuba,"DWP, DVMT, DSCM, Musico, DKey",1.0
MuP 31 BR,Brass,"DSCM, DVMT, DWP, DKey, Musico",3.0
MuP 31 Si,Sitar,"DWP, Musico, DVMT, DSCM, DKey",1.0
MuP 31 STG Gtr,Guitar,"DSCM, DVMT, DKey, Musico, DWP",3.0
MuP 31 Si,Sitar,"DSCM, DVMT, DKey, Musico, DWP",1.0
MuP 31 Ba,Banduria,"Musico, DSCM, DKey, DVMT, DWP",3.0
MuP 31 BR Eup,Euphonium,"DKey, DVMT, DWP, DSCM, Musico",3.0
MuP 31 AL,Afro Latin Instrument,"DSCM, DVMT, DKey, DWP, Musico",3.0
MuP 31 STG Vn,Violin,"DSCM, DWP, DVMT, DKey, Musico",3.0
MuP 31 Ha,Harpsichord,"DSCM, DKey, DVMT, DWP, Musico",3.0
MuP 31 BR Trb,Trombone,"DVMT, DWP, Musico, DKey, DSCM",3.0
MuP 31 PIC Trp,Piccolo Trumpet,"DVMT, Musico, DSCM, DWP, DKey",3.0
MuP 31 WWD Ob,Oboe,"DKey, DSCM, DWP, Musico, DVMT",1.0
MuP 31 Ha,Harpsichord,"DKey, DWP, Musico, DVMT, DSCM",3.0
MuP 31 WWD Cla,Clarinet,"DKey, DWP, DVMT, DSCM, Musico",3.0
MuP 31 Ku,Kulintang,"DKey, DWP, DVMT, DSCM, Musico",3.0
MuP 31 WWD Ob,Oboe,"DKey, DWP, DVMT, Musico, DSCM",1.0
MuP 31 PNO,Piano,"DWP, DSCM, Musico, DKey, DVMT",3.0
MuP 31 WWD Fl,Flute,"Musico, DWP, DSCM, DVMT, DKey",3.0
MuP 31 STG Hrp,Harp,"DKey, DWP, DSCM, Musico, DVMT",1.0
MuP 31 BR,Brass,"DSCM, DWP, DKey, DVMT, Musico",3.0
MuP 31 BR Fr,French Horn,"DVMT, DKey, DSCM, DWP, Musico",1.0
MuP 31 BR Trb,Trombone,"DVMT, DKey, Musico, DSCM, DWP",3.0
MuP 31 WWD Sax,Saxophone,"DVMT, DSCM, Musico, DKey, DWP",3.0
MuP 31 BR Fr,French Horn,"DVMT, DWP, Musico, DKey, DSCM",1.0
MuP 31 PNO,Piano,"DWP, Musico, DSCM, DKey, DVMT",3.0
MuP 31 CI,Chinese Instruments,"DKey, DSCM, DVMT, Musico, DWP",3.0
MuP 31 CI,Chinese Instruments,"DWP, DKey, DVMT, DSCM, Musico",3.0
MuP 31 STG,String Instrument,"Musico, DSCM, DWP, DVMT, DKey",1.0
MuP 31 STG Ce,Cello,"DWP, DKey, DSCM, DVMT, Musico",3.0
MuP 31 PERC,Percussion,"Musico, DSCM, DWP, DKey, DVMT",3.0
MuP 31 KT,Koto,"DSCM, DVMT, Musico, DWP, DKey",3.0
MuP 31 STG Db,Double Bass,"DSCM, DKey, Musico, DWP, DVMT",1.0
MuP 31 STG Hrp,Harp,"Musico, DWP, DSCM, DVMT, DKey",1.0
MuP 40 STG,Bowed and Guitar,"DSCM, DWP, DKey, Musico, DVMT",2.0
MuP 40 Ba,Banduria,"DWP, DKey, DVMT, DSCM, Musico",2.0
MuP 40 PERC,Percussion,"DKey, DSCM, Musico, DVMT, DWP",2.0
MuP 40 KT,Koto,"Musico, DSCM, DWP, DVMT, DKey",2.0
MuP 40 STG Va,Viola,"DSCM, DVMT, Musico, DWP, DKey",2.0
MuP 40 STG Ce,Cello,"DVMT, DSCM, DWP, Musico, DKey",2.0
MuP 40 PNO,Piano,"DKey, DWP, DVMT, DSCM, Musico",2.0
MuP 40 Ku,Kulintang,"DKey, DSCM, DWP, Musico, DVMT",2.0
MuP 40 BR,Brass,"DVMT, DWP, Musico, DSCM, DKey",2.0
MuP 40 STG Vn,Violin,"DKey, DWP, Musico, DVMT, DSCM",2.0
MuP 40 VMT,Voice and Music Theatre,"DSCM, DWP, Musico, DVMT, DKey",2.0
MuP 40 WWD,Woodwind,"DSCM, Musico, DVMT, DWP, DKey",2.0
MuP 40 STG Gtr,Guitar,"DWP, Musico, DKey, DSCM, DVMT",2.0
MuP 41 BR Eup,Euphonium,"DKey, DVMT, Musico, DWP, DSCM",3.0
MuP 41 BR,Brass,"DWP, DKey, DSCM, Musico, DVMT",1.0
MuP 41 WWD Ob,Oboe,"DKey, DWP, Musico, DVMT, DSCM",1.0
MuP 41 Ka,Kalingga,"DVMT, DKey, DWP, Musico, DSCM",3.0
MuP 41 STG Gtr,Guitar,"DKey, Musico, DSCM, DWP, DVMT",3.0
MuP 41 STG Ce,Cello,"DSCM, Musico, DVMT, DKey, DWP",1.0
MuP 41 Ba,Banduria,"DWP, DVMT, DKey, DSCM, Musico",3.0
MuP 41 WWD Fl,Flute,"DVMT, DSCM, Musico, DWP, DKey",3.0
MuP 41 Ha,Harpsichord,"DSCM, DKey, DWP, Musico, DVMT",3.0
MuP 41 CI,Chinese Instruments,"DWP, DVMT, DKey, Musico, DSCM",3.0
MuP 41 STG,String Instrument,"DWP, DSCM, Musico, DKey, DVMT",1.0
MuP 41 PERC,Percussion,"DKey, DVMT, Musico, DWP, DSCM",3.0
MuP 41 PIC Fl,Piccolo Flute,"DKey, DVMT, Musico, DWP, DSCM",3.0
MuP 41 Si,Sitar,"Musico, DKey, DVMT, DWP, DSCM",1.0
MuP 41 PNO,Piano,"Musico, DWP, DVMT, DSCM, DKey",3.0
MuP 41 OR,Organ,"DVMT, Musico, DSCM, DWP, DKey",3.0
MuP 41 WWD Sax,Saxophone,"DWP, DSCM, Musico, DKey, DVMT",3.0
MuP 41 AL,Afro Latin Instrument,"DSCM, Musico, DVMT, DWP, DKey",3.0
MuP 41 WWD Cla,Clarinet,"DKey, Musico, DVMT, DSCM, DWP",3.0
MuP 41 BR Trb,Trombone,"Musico, DVMT, DWP, DSCM, DKey",3.0
MuP 41 BR Tpt,Trumpet,"DSCM, DWP, Musico, DKey, DVMT",3.0
MuP 41 VMT,Voice and Music Theatre,"DWP, DSCM, Musico, DKey, DVMT",3.0
MuP 41 STG Db,Double Bass,"DKey, DWP, DSCM, Musico, DVMT",1.0
MuP 41 BR Fr,French Horn,"Musico, DKey, DVMT, DSCM, DWP",1.0
MuP 41 WWD Bas,Bassoon ,"Musico, DVMT, DSCM, DWP, DKey",3.0
MuP 41 KT,Koto,"DKey, DSCM, DWP, DVMT, Musico",3.0
MuP 41 STG Hrp,Harp,"Musico, DVMT, DWP, DSCM, DKey",1.0
MuP 41 STG Va,Viola,"DVMT, DKey, DWP, DSCM, Musico",1.0
MuP 41 PIC Trp,Piccolo Trumpet,"Musico, DWP, DKey, DSCM, DVMT",3.0
MuP 41 WWD,Woodwind Instrument,"DSCM, DKey, Musico, DVMT, DWP",1.0
MuP 41 STG Vn,Violin,"DSCM, DWP, DVMT, DKey, Musico",3.0
MuP 41 Ku,Kulintang,"DKey, DWP, DVMT, DSCM, Musico",3.0
MuP 41 BR Tu,Tuba,"DSCM, Musico, DKey, DWP, DVMT",1.0
MuP 50 PERC,Percussion,"Musico, DKey, DSCM, DVMT, DWP",2.0
MuP 50 BR Tpt,Trumpet,"DSCM, DKey, DWP, DVMT, Musico",2.0
MuP 50 BR,Brass,"DKey, DSCM, Musico, DVMT, DWP",2.0
MuP 50 KT,Koto,"DKey, Musico, DSCM, DWP, DVMT",2.0
MuP 50 STG Vn,Violin,"DWP, DSCM, Musico, DKey, DVMT",2.0
MuP 50 VMT,Voice and Music Theatre,"DSCM, DVMT, Musico, DKey, DWP",2.0
MuP 50 PNO,Piano,"DWP, Musico, DVMT, DKey, DSCM",2.0
MuP 50 Ku,Kulintang,"DSCM, DWP, DVMT, DKey, Musico",2.0
MuP 50 WWD,Woodwind Instrument,"DVMT, DSCM, DWP, DKey, Musico",2.0
MuP 50 STG Ce,Cello,"DSCM, DKey, Musico, DWP, DVMT",2.0
MuP 50 STG Gtr,Guitar,"DSCM, DKey, DWP, DVMT, Musico",2.0
MuP 50 STG,Bowed and Guitar,"DVMT, DSCM, DWP, DKey, Musico",2.0
MuP 51 Si,Sitar,"Musico, DVMT, DWP, DKey, DSCM",1.0
MuP 51 Ka,Kalingga,"DWP, DKey, DSCM, DVMT, Musico",1.0
MuP 51 Ba,Banduria,"DSCM, DKey, Musico, DWP, DVMT",1.0
MuP 51 BR,Brass,"Musico, DSCM, DVMT, DWP, DKey",1.0
MuP 51 WWD Fl,Flute,"DKey, DWP, DSCM, DVMT, Musico",3.0
MuP 51 WWD,Woodwind,"Musico, DWP, DSCM, DKey, DVMT",1.0
MuP 51 PERC,Percussion,"DKey, DVMT, Musico, DSCM, DWP",3.0
MuP 51 AL,Afro Latin,"Musico, DSCM, DKey, DWP, DVMT",3.0
MuP 51 STG Db,Double Bass,"Musico, DVMT, DWP, DKey, DSCM",1.0
MuP 51 WWD Bas,Bassoon ,"DSCM, Musico, DKey, DVMT, DWP",3.0
MuP 51 BR Tu,Tuba,"DKey, Musico, DWP, DVMT, DSCM",1.0
MuP 51 BR Fr,French Horn,"DVMT, DKey, Musico, DWP, DSCM",1.0
MuP 51 STG Ce,Cello,"DKey, DSCM, DVMT, DWP, Musico",1.0
MuP 51 STG Gtr,Guitar,"DVMT, Musico, DSCM, DWP, DKey",1.0
MuP 51 WWD Ob,Oboe,"DVMT, DWP, DKey, Musico, DSCM",1.0
MuP 51 STG,Bowed and Guitar,"DSCM, DKey, DWP, Musico, DVMT",1.0
MuP 51 KT,Koto,"Musico, DVMT, DKey, DSCM, DWP",3.0
MuP 51 STG Vn,Violin,"DWP, DVMT, DKey, Musico, DSCM",1.0
MuP 51 PIC Fl,Piccolo Flute,"Musico, DKey, DVMT, DWP, DSCM",3.0
MuP 51 WWD Cla,Clarinet,"Musico, DSCM, DWP, DVMT, DKey",3.0
MuP 51 BR Tpt,Trumpet,"DSCM, DKey, DVMT, Musico, DWP",1.0
MuP 51 PIC Trp,Piccolo Trumpet,"DKey, DSCM, Musico, DVMT, DWP",3.0
MuP 51 STG Hrp,Harp,"DSCM, DKey, DWP, DVMT, Musico",1.0
MuP 51 PNO,Piano,"DWP, DVMT, DKey, DSCM, Musico",3.0
MuP 51 WWD Sax,Saxophone,"DWP, DKey, DSCM, DVMT, Musico",3.0
MuP 51 VMT,Voice and Music Theatre,"DVMT, DSCM, DWP, Musico, DKey",3.0
MuP 51 STG Va,Viola,"DVMT, DSCM, Musico, DKey, DWP",1.0
MuP 51 BR Eup,Euphonium,"DKey, DVMT, Musico, DWP, DSCM",3.0
MuP 51 CI,Chinese Instruments,"DWP, DKey, DVMT, Musico, DSCM",3.0
MuP 51 Ku,Kulintang,"DSCM, DVMT, DKey, DWP, Musico",3.0
MuP 51 BR Trb,Trombone,"DKey, DWP, DVMT, DSCM, Musico",3.0
MuP 60 Ku,Kulintang,"DSCM, DVMT, Musico, DKey, DWP",2.0
MuP 60 BR Trb,Trombone,"DSCM, DKey, DVMT, DWP, Musico",2.0
MuP 60 KT,Koto,"DKey, DSCM, DVMT, Musico, DWP",2.0
MuP 60 WWD,Woodwind Instrument,"DSCM, Musico, DVMT, DKey, DWP",2.0
MuP 60 WWD Sax,Saxophone,"DVMT, DWP, Musico, DKey, DSCM",2.0
MuP 60 WWD Ob,Oboe,"DSCM, DVMT, DKey, Musico, DWP",2.0
MuP 60 WWD Bas,Bassoon ,"DVMT, DKey, Musico, DWP, DSCM",2.0
MuP 60 PNO,Piano,"DVMT, DSCM, Musico, DWP, DKey",2.0
MuP 60 BR Tu,Tuba,"DKey, DSCM, Musico, DVMT, DWP",2.0
MuP 60 VMT,Voice and Music Theatre,"DSCM, DKey, DWP, DVMT, Musico",2.0
MuP 60 STG Va,Viola,"Musico, DKey, DWP, DSCM, DVMT",2.0
MuP 60 STG Ce,Cello,"DKey, Musico, DWP, DSCM, DVMT",2.0
MuP 60 STG,Bowed and Guitar,"DWP, DVMT, DKey, Musico, DSCM",2.0
MuP 60 WWD Fl,Flute,"DWP, Musico, DKey, DSCM, DVMT",2.0
MuP 60 BR Tpt,Trumpet,"DSCM, DKey, DVMT, Musico, DWP",2.0
MuP 60 PERC,Percussion,"Musico, DVMT, DSCM, DKey, DWP",2.0
MuP 60 WWD Cla,Clarinet,"Musico, DKey, DVMT, DSCM, DWP",2.0
MuP 60 BR,Brass,"DSCM, DWP, DVMT, DKey, Musico",2.0
MuP 60 Ba,Banduria,"DSCM, Musico, DKey, DWP, DVMT",2.0
MuP 60 BR Fr,French Horn,"DVMT, Musico, DKey, DSCM, DWP",2.0
MuP 60 STG Gtr,Guitar,"DKey, DVMT, DSCM, Musico, DWP",2.0
MuP 60 STG Vn,Violin,"DWP, DVMT, DKey, DSCM, Musico",2.0
MuP 61 Ka,Kalingga,"DKey, DVMT, DSCM, DWP, Musico",3.0
MuP 61 Ku,Kulintang,"DWP, Musico, DVMT, DSCM, DKey",3.0
MuP 61 BR Trb,Trombone,"DKey, DWP, Musico, DSCM, DVMT",1.0
MuP 61 WWD Sax,Saxophone,"DVMT, DWP, DSCM, DKey, Musico",3.0
MuP 61 STG Ce,Cello,"Musico, DVMT, DSCM, DWP, DKey",1.0
MuP 61 WWD Fl,Flute,"DVMT, Musico, DKey, DSCM, DWP",1.0
MuP 61 Ka,Kalingga,"DVMT, DKey, Musico, DWP, DSCM",3.0
MuP 61 STG Vn,Violin,"DVMT, DKey, DWP, DSCM, Musico",1.0
MuP 61 STG Va,Viola,"DKey, Musico, DVMT, DWP, DSCM",1.0
MuP 61 WWD Bas,Bassoon ,"DKey, DVMT, DSCM, DWP, Musico",3.0
MuP 61 PNO,Piano,"DSCM, Musico, DKey, DVMT, DWP",3.0
MuP 61 BR Tpt,Trumpet,"DVMT, Musico, DWP, DSCM, DKey",1.0
MuP 61 VMT,Voice and Music Theatre,"DWP, Musico, DVMT, DSCM, DKey",3.0
MuP 61 WWD Fl,Flute,"DKey, DVMT, DSCM, DWP, Musico",1.0
MuP 61 BR Tpt,Trumpet,"DWP, DKey, DVMT, Musico, DSCM",1.0
MuP 61 WWD,Woodwind,"DVMT, DSCM, DKey, DWP, Musico",1.0
MuP 61 PNO,Piano,"DWP, DKey, DVMT, Musico, DSCM",3.0
MuP 61 PIC Eup,Piccolo Euphonium,"DWP, DVMT, DSCM, Musico, DKey",3.0
MuP 61 WWD Sax,Saxophone,"DVMT, Musico, DKey, DSCM, DWP",3.0
MuP 61 PERC,Percussion,"DSCM, DVMT, Musico, DWP, DKey",3.0
MuP 61 Ba,Banduria,"DKey, DWP, DSCM, Musico, DVMT",1.0
MuP 61 Si,Sitar,"Musico, DSCM, DKey, DWP, DVMT",1.0
MuP 61 BR Fr,French Horn,"DWP, DKey, DSCM, DVMT, Musico",1.0
MuP 61 CI,Chinese Instruments,"DVMT, DSCM, DKey, Musico, DWP",3.0
MuP 61 STG,Bowed and Guitar,"DSCM, Musico, DVMT, DKey, DWP",1.0
MuP 61 Si,Sitar,"DVMT, DKey, Musico, DSCM, DWP",1.0
MuP 61 PERC,Percussion,"DKey, DSCM, DVMT, Musico, DWP",3.0
MuP 61 WWD Cla,Clarinet,"DWP, DKey, Musico, DVMT, DSCM",1.0
MuP 61 PIC Fl,Piccolo Flute,"DKey, Musico, DSCM, DWP, DVMT",3.0
MuP 61 WWD Ob,Oboe,"DKey, Musico, DSCM, DVMT, DWP",1.0
MuP 61 KT,Koto,"DVMT, DWP, DKey, DSCM, Musico",3.0
MuP 61 WWD Bas,Bassoon ,"DKey, DVMT, Musico, DWP, DSCM",3.0
MuP 61 WWD Ob,Oboe,"DKey, DWP, DVMT, Musico, DSCM",1.0
MuP 61 STG,Bowed and Guitar,"DWP, Musico, DSCM, DKey, DVMT",1.0
MuP 61 PIC Eup,Piccolo Euphonium,"Musico, DVMT, DWP, DSCM, DKey",3.0
MuP 61 BR Tu,Tuba,"DSCM, Musico, DVMT, DWP, DKey",1.0
MuP 61 CI,Chinese Instruments,"Musico, DSCM, DVMT, DWP, DKey",3.0
MuP 61 WWD Cla,Clarinet,"Musico, DVMT, DWP, DSCM, DKey",1.0
MuP 61 STG Ce,Cello,"DSCM, DKey, Musico, DVMT, DWP",1.0
MuP 61 BR,Brass,"DWP, DKey, Musico, DVMT, DSCM",1.0
MuP 61 PIC Fl,Piccolo Flute,"Musico, DVMT, DWP, DKey, DSCM",3.0
MuP 61 Ku,Kulintang,"DKey, Musico, DSCM, DWP, DVMT",3.0
MuP 61 KT,Koto,"DSCM, DVMT, DKey, Musico, DWP",3.0
MuP 61 BR Fr,French Horn,"DSCM, Musico, DVMT, DKey, DWP",1.0
MuP 61 BR Tu,Tuba,"DVMT, DWP, Musico, DKey, DSCM",1.0
MuP 61 WWD,Woodwind,"DWP, DSCM, Musico, DVMT, DKey",1.0
MuP 61 STG Va,Viola,"DSCM, DVMT, DKey, Musico, DWP",1.0
MuP 61 BR,Brass,"DVMT, DWP, DKey, Musico, DSCM",1.0
MuP 61 STG Gtr,Guitar,"DSCM, DWP, Musico, DVMT, DKey",1.0
MuP 61 AL,Afro Latin,"DSCM, DVMT, DWP, DKey, Musico",3.0
MuP 61 BR Trb,Trombone,"DWP, DVMT, Musico, DSCM, DKey",1.0
MuP 61 STG Vn,Violin,"DWP, DKey, Musico, DVMT, DSCM",1.0
MuP 61 Ba,Banduria,"Musico, DWP, DVMT, DSCM, DKey",1.0
MuP 61 AL,Afro Latin,"DWP, DKey, DVMT, Musico, DSCM",3.0
MuP 61 STG Gtr,Guitar,"DWP, DKey, DSCM, Musico, DVMT",1.0
MuP 61 VMT,Voice and Music Theatre,"DSCM, Musico, DWP, DVMT, DKey",3.0
MuP 70 BR Fr,French Horn,"DWP, DVMT, DSCM, Musico, DKey",2.0
MuP 70 WWD Bas,Bassoon ,"Musico, DWP, DKey, DVMT, DSCM",2.0
MuP 70 KT,Koto,"DWP, Musico, DVMT, DSCM, DKey",2.0
MuP 70 WWD Ob,Oboe,"DVMT, DSCM, DWP, DKey, Musico",2.0
MuP 70 VMT,Voice and Music Theatre,"DKey, Musico, DVMT, DWP, DSCM",2.0
MuP 70 BR Trb,Trombone,"DKey, Musico, DWP, DSCM, DVMT",2.0
MuP 70 WWD Fl,Flute,"DWP, DSCM, DVMT, Musico, DKey",2.0
MuP 70 PNO,Piano,"Musico, DWP, DKey, DSCM, DVMT",2.0
MuP 70 STG Gtr,Guitar,"DKey, Musico, DVMT, DWP, DSCM",2.0
MuP 70 Ba,Banduria,"DVMT, Musico, DSCM, DWP, DKey",2.0
MuP 70 STG Ce,Cello,"DSCM, Musico, DKey, DVMT, DWP",2.0
MuP 70 STG,Bowed and Guitar,"DWP, DVMT, DSCM, Musico, DKey",2.0
MuP 70 WWD Sax,Saxophone,"DVMT, Musico, DWP, DSCM, DKey",2.0
MuP 70 BR Tu,Tuba,"DWP, DVMT, DKey, Musico, DSCM",2.0
MuP 70 STG Vn,Violin,"DKey, DWP, DSCM, Musico, DVMT",2.0
MuP 70 BR Tpt,Trumpet,"DSCM, Musico, DKey, DVMT, DWP",2.0
MuP 70 PERC,Percussion,"Musico, DWP, DSCM, DKey, DVMT",2.0
MuP 70 WWD Cla,Clarinet,"DWP, Musico, DVMT, DSCM, DKey",2.0
MuP 70 WWD,Woodwind Instrument,"DSCM, DKey, DWP, DVMT, Musico",2.0
MuP 70 BR,Brass,"DKey, Musico, DVMT, DSCM, DWP",2.0
MuP 71 Ku,Kulintang,"DWP, DSCM, DVMT, Musico, DKey",1.0
MuP 71 WWD Sax,Saxophone,"DVMT, Musico, DSCM, DKey, DWP",1.0
MuP 71 WWD Bas,Bassoon ,"DKey, DVMT, DWP, Musico, DSCM",1.0
MuP 71 STG Vn,Violin,"Musico, DSCM, DKey, DVMT, DWP",1.0
MuP 71 WWD Fl,Flute,"DKey, Musico, DVMT, DWP, DSCM",1.0
MuP 71 BR,Brass,"DKey, Musico, DSCM, DVMT, DWP",1.0
MuP 71 KT,Koto,"DSCM, DWP, DVMT, Musico, DKey",1.0
MuP 71 Ha,Harpsichord,"DVMT, DWP, Musico, DKey, DSCM",1.0
MuP 71 Ba,Banduria,"DWP, Musico, DSCM, DKey, DVMT",1.0
MuP 71 STG Va,Viola,"Musico, DWP, DSCM, DVMT, DKey",1.0
MuP 71 BR Tpt,Trumpet,"DWP, Musico, DKey, DVMT, DSCM",1.0
MuP 71 BR Tu,Tuba,"Musico, DVMT, DWP, DKey, DSCM",1.0
MuP 71 AF,Afro Latin,"DVMT, Musico, DWP, DSCM, DKey",1.0
MuP 71 Si,Sitar,"Musico, DWP, DVMT, DSCM, DKey",1.0
MuP 71 WWD Cla,Clarinet,"DVMT, DKey, DWP, Musico, DSCM",1.0
MuP 71 STG Gtr,Guitar,"DKey, Musico, DSCM, DVMT, DWP",1.0
MuP 71 Ka,Kalingga,"Musico, DSCM, DWP, DKey, DVMT",1.0
MuP 71 CI,Chinese Instruments,"DKey, Musico, DVMT, DWP, DSCM",1.0
MuP 71 STG,Bowed and Guitar,"DWP, Musico, DSCM, DKey, DVMT",1.0
MuP 71 WWD Ob,Oboe,"DVMT, DWP, DSCM, Musico, DKey",1.0
MuP 71 BR Fr,French Horn,"DKey, DVMT, DSCM, Musico, DWP",1.0
MuP 71 PERC,Percussion,"Musico, DWP, DKey, DVMT, DSCM",1.0
MuP 71 BR Trb,Trombone,"DVMT, Musico, DSCM, DWP, DKey",1.0
MuP 71 VMT,Voice and Music Theatre,"Musico, DSCM, DKey, DVMT, DWP",1.0
MuP 71 PNO,Piano,"DVMT, DSCM, DKey, DWP, Musico",1.0
MuP 71 WWD,Woodwind,"DWP, DSCM, DVMT, DKey, Musico",1.0
MuP 80 PNO,Piano,"Musico, DWP, DSCM, DKey, DVMT",2.0
MuP 80 STG,Bowed and Guitar,"DVMT, DWP, DKey, DSCM, Musico",2.0
MuP 80 WWD,Woodwind Instrument,"DKey, DWP, DSCM, Musico, DVMT",2.0
MuP 80 Ba,Banduria,"DWP, DSCM, Musico, DKey, DVMT",2.0
MuP 80 BR Fr,French Horn,"Musico, DVMT, DWP, DKey, DSCM",2.0
MuP 80 BR,Brass,"DKey, DVMT, DWP, DSCM, Musico",2.0
MuP 80 WWD Fl,Flute,"Musico, DKey, DSCM, DWP, DVMT",2.0
MuP 80 BR Tpt,Trumpet,"DSCM, DVMT, DWP, Musico, DKey",2.0
MuP 80 WWD Ob,Oboe,"DVMT, DSCM, Musico, DWP, DKey",2.0
MuP 80 BR Trb,Trombone,"Musico, DWP, DSCM, DKey, DVMT",2.0
MuP 80 STG Vn,Violin,"Musico, DKey, DVMT, DWP, DSCM",2.0
MuP 80 PERC,Percussion Instrument,"DVMT, DKey, DSCM, DWP, Musico",2.0
MuP 80 WWD Bas,Bassoon ,"DWP, Musico, DKey, DVMT, DSCM",2.0
MuP 80 STG Gtr,Guitar,"DVMT, Musico, DKey, DWP, DSCM",2.0
