,0
"('UP School of Archaeology', 'UP Asian Institute Of Tourism')",1134.9
"('GT-Toyota Asian Center', 'College of Business Administration')",436.9
"('GT-Toyota Asian Center', 'University of the Philippines, College of Social Sciences and Philosophy')",914.1
"('GT-Toyota Asian Center', 'National Institute of Physics')",1182.7
"('GT-Toyota Asian Center', 'University of the Philippines College of Architecture')",1671.1
"('GT-Toyota Asian Center', 'University of the Philippines College of Mass Communication')",1237.2
"('GT-Toyota Asian Center', 'UP Institute of Biology')",1007.4
"('GT-Toyota Asian Center', 'University of the Philippines College of Social Work and Community Development')",1279.3
"('GT-Toyota Asian Center', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",1757.7
"('GT-Toyota Asian Center', 'Pavilion 1 - Palma Hall')",1128.6
"('GT-Toyota Asian Center', 'Crafts and Interior Design Laboratory')",892.3
"('GT-Toyota Asian Center', 'UP College of Home Economics Annex Building')",883.7
"('GT-Toyota Asian Center', 'UP Diliman Electrical and Electronics Engineering Institute')",1404.0
"('GT-Toyota Asian Center', 'UP National College of Public Administration and Governance')",1669.3
"('GT-Toyota Asian Center', 'UP College of Human Kinetics')",1509.8
"('GT-Toyota Asian Center', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",1154.6
"('GT-Toyota Asian Center', 'University of the Philippines College of Engineering')",672.6
"('GT-Toyota Asian Center', 'UP College of Music')",1090.8
"('GT-Toyota Asian Center', 'UP School of Economics')",395.0
"('GT-Toyota Asian Center', 'UP College of Fine Arts')",1829.7
"('GT-Toyota Asian Center', 'Department of Chemical Engineering, University of the Philippines Diliman')",1826.9
"('GT-Toyota Asian Center', 'Computational Science Research Center')",1129.6
"('GT-Toyota Asian Center', 'UP College of Education')",675.7
"('GT-Toyota Asian Center', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",1623.0
"('GT-Toyota Asian Center', 'Industrial Engineering - Mechanical Engineering Building')",458.2
"('GT-Toyota Asian Center', 'Institute of Environmental Science and Meteorology')",1465.7
"('GT-Toyota Asian Center', 'UP Child Development Center')",789.5
"('GT-Toyota Asian Center', 'Alonso Hall')",797.9
"('GT-Toyota Asian Center', 'UP Department of Geodetics Engineering')",714.2
"('GT-Toyota Asian Center', 'University of the Philippines Center for International Studies')",798.1
"('GT-Toyota Asian Center', 'National Institute of Geological Sciences')",1516.6
"('GT-Toyota Asian Center', 'UP College of Home Economics')",831.2
"('GT-Toyota Asian Center', 'UP Institute of Islamic Studies')",1531.0
"('GT-Toyota Asian Center', 'UP College of Law')",388.9
"('GT-Toyota Asian Center', 'National Institute of Molecular Biology and Biotechnology')",1075.0
"('GT-Toyota Asian Center', 'UP Department of Mechanical Engineering')",682.9
"('GT-Toyota Asian Center', 'UP Marine Science Institute')",1399.1
"('GT-Toyota Asian Center', 'Institute of Mathematics')",1468.3
"('GT-Toyota Asian Center', 'Alfredo V. Lagmay Hall')",759.1
"('GT-Toyota Asian Center', 'UP School of Urban and Regional Planning')",1412.7
"('GT-Toyota Asian Center', 'UP Vanguard Building')",1347.8
"('GT-Toyota Asian Center', 'University of the Philippines-Diliman Department of Sociology')",889.4
"('GT-Toyota Asian Center', 'Bulwagang Silangang Palma')",766.7
"('GT-Toyota Asian Center', 'UP School of Statistics New Building')",1439.1
"('GT-Toyota Asian Center', 'Technology Management Center - University of the Philippines')",1509.0
"('GT-Toyota Asian Center', 'UP Asian Institute Of Tourism')",1846.2
"('College of Business Administration', 'University of the Philippines, College of Social Sciences and Philosophy')",477.1
"('College of Business Administration', 'National Institute of Physics')",782.4
"('College of Business Administration', 'University of the Philippines College of Architecture')",1256.3
"('College of Business Administration', 'University of the Philippines College of Mass Communication')",1024.7
"('College of Business Administration', 'UP Institute of Biology')",570.6
"('College of Business Administration', 'University of the Philippines College of Social Work and Community Development')",1275.2
"('College of Business Administration', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",1338.6
"('College of Business Administration', 'Pavilion 1 - Palma Hall')",691.6
"('College of Business Administration', 'Crafts and Interior Design Laboratory')",455.5
"('College of Business Administration', 'UP College of Home Economics Annex Building')",446.9
"('College of Business Administration', 'UP Diliman Electrical and Electronics Engineering Institute')",967.1
"('College of Business Administration', 'UP National College of Public Administration and Governance')",1665.2
"('College of Business Administration', 'UP College of Human Kinetics')",1505.7
"('College of Business Administration', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",731.6
"('College of Business Administration', 'University of the Philippines College of Engineering')",460.1
"('College of Business Administration', 'UP College of Music')",1041.4
"('College of Business Administration', 'UP School of Economics')",139.9
"('College of Business Administration', 'UP College of Fine Arts')",1485.6
"('College of Business Administration', 'Department of Chemical Engineering, University of the Philippines Diliman')",1390.1
"('College of Business Administration', 'Computational Science Research Center')",692.8
"('College of Business Administration', 'UP College of Education')",238.9
"('College of Business Administration', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",1186.2
"('College of Business Administration', 'Industrial Engineering - Mechanical Engineering Building')",454.1
"('College of Business Administration', 'Institute of Environmental Science and Meteorology')",1028.9
"('College of Business Administration', 'UP Child Development Center')",432.2
