course_code,course_title,offering_unit,units,timeslot,venue,instructor
Anthro 298,Research Methods in Physical Anthropology,DAnthro,3.0,F 4-7PM,TBA,"TAN, MICHAEL"
Anthro 300,Master's Thesis,DAnthro,3.0,M 9AM-12PM,TBA,TBA
Anthro 400,PhD Dissertation,DAnthro,3.0,M 9AM-12PM,TBA,TBA
App Physics 157,Computational Analysis and Modeling in Physics,NIP,4.0,T 1-4PM,NIP R210; TTh 4-5:30PM lec NIP R211,"NIP, NIP; LIM, MAY"
App Physics 171,Introductory Crystallography,NIP,3.0,TTh 8:30-10AM,NIP R201; TTh 5:30-6:30PM lab TBA,"MACAM, GENNEVIEVE"
App Physics 181,Physical Electronics I,NIP,4.0,F 1-4PM,NIP R208; WF 4-5:30PM lec NIP R210,"ESTACIO, ELMER; JOQUIÑO, LORENZO GABRIEL"
App Physics 199,Undergraduate Research,NIP,3.0,TBA,,"BANZON, RONALD"
App Physics 200,Undergraduate Thesis,NIP,3.0,TBA,,"BANTANG, JOHNROB"
Arch 3,Architectural Communication III: Architectural Presentation Techniques,Arch,3.0,TTh 8AM-12:30PM,B1-Studio Lab 3,"GOZON, PATRICK ANDREW"
Arch 5,Architectural Communication V: Digital Visualization in Architecture,Arch,2.0,S 9AM-3:30PM,B2-107 CAD Lab,"MANALANG, RINGER"
Arch 16,"History, Theory and Criticism I: Introduction to Architecture",Arch,2.0,F 10AM-12PM,B2-106A,"GINES, LEONIDO"
Arch 18,"History, Theory and Criticism III: Architecture of Asia and the Pacific",Arch,2.0,W 10AM-12PM,B2-106A,"LUNA, MARKEL CESAR"
Arch 20,Architectural Design II:  Design and Intra-personal Spaces,Arch,2.0,Th 4:30-6:30PM,B1-Studio Lab 1; T 4:30-6:30PM lab B2-101,"ARANETA, MAUREEN ANNE"
Arch 22,Architectural Design IV: Design and Social Space,Arch,3.0,W 4:30-9PM,B2-103A; F 4:30-9PM lab TBA,"BULAONG, CARMEN BETTINA"
Arch 23,Building Construction I: Materials of Building Technology,Arch,3.0,TTh 1:30-4PM,B2-101,"DE LEON, RUBY TERESA"
Arch 32,"Architectural Design VI: Architecture, Technology and the Environment",Arch,3.0,T 4:30-9PM,B2-102; Th 4:30-9PM lab TBA,"BALANE, RONALD"
Arch 33,Building Construction III: Heavy Frame Construction,Arch,3.0,F 1-5:30PM,B1-Studio Lab 2; W 1-5:30PM lec B2-106,"BELGA, MARIE EDRALINE"
